variabel,dtype,missing_count,missing_pct,unique_count
jumlah_staf_it,float64,8,2.898550724637681,13
kunjungan_telemedicine_per_bulan,float64,8,2.898550724637681,148
anggaran_it_tahunan_juta_rupiah,float64,8,2.898550724637681,243
status_implementasi_rme,str,0,0.0,2
status_terhubung_satusehat,str,0,0.0,2
kelas_rumah_sakit,str,0,0.0,7
kepemilikan,str,0,0.0,9
kota_kabupaten,str,0,0.0,24
jumlah_jenis_layanan,int64,0,0.0,27
provinsi,str,0,0.0,35
rata_rata_lama_rawat_hari,float64,0,0.0,58
jumlah_perangkat_iot,int64,0,0.0,72
nama_rumah_sakit,str,0,0.0,151
jumlah_tempat_tidur,int64,0,0.0,172
tingkat_keterisian_tempat_tidur_persen,float64,0,0.0,205
skor_kematangan_digital,float64,0,0.0,220
rata_rata_waktu_respons_rujukan_menit,float64,0,0.0,224
jumlah_tenaga_kerja,int64,0,0.0,227
kunjungan_pasien_per_bulan,int64,0,0.0,262
id_rumah_sakit,str,0,0.0,276
