id_rumah_sakit,nama_rumah_sakit,provinsi,kota_kabupaten,kelas_rumah_sakit,kepemilikan,jumlah_tempat_tidur,jumlah_jenis_layanan,jumlah_tenaga_kerja,tingkat_keterisian_tempat_tidur_persen,rata_rata_lama_rawat_hari,kunjungan_pasien_per_bulan,status_implementasi_rme,status_terhubung_satusehat,skor_kematangan_digital,kunjungan_telemedicine_per_bulan,jumlah_perangkat_iot,jumlah_staf_it,anggaran_it_tahunan_juta_rupiah,rata_rata_waktu_respons_rujukan_menit,kunjungan_telemedicine_per_bulan_missing,jumlah_staf_it_missing,anggaran_it_tahunan_juta_rupiah_missing,rme_bin,satusehat_bin,anggaran_it_per_bed,staf_it_per_100_bed,iot_per_100_bed,telemedicine_rate_per_1000,pasien_per_tenaga_kerja,layanan_per_100_bed,maturity_per_10,log_tempat_tidur,log_jenis_layanan,log_tenaga_kerja,log_kunjungan_pasien,bor_pressure,rata_rata_waktu_respons_rujukan_menit_scoring,rata_rata_lama_rawat_hari_scoring,bor_pressure_scoring,pasien_per_tenaga_kerja_scoring,expected_digital_maturity_oof,digital_conversion_gap,digital_conversion_gap_peer_z,anggaran_it_per_bed_pct,staf_it_per_100_bed_pct,iot_per_100_bed_pct,investment_intensity_score,conversion_underperformance_flag,conversion_watch_flag,investment_conversion_segment,investment_underperformance_score,maturity_tertile,maturity_peer_pct,digital_deficit_score,referral_burden,bor_burden,los_burden,workload_burden,operational_burden_score,double_inefficiency,cause_score_it_capability,cause_score_infrastructure,cause_score_adoption,cause_score_investment_conversion,cause_score_capacity,cause_score_integration,root_cause_primary,root_cause_secondary,root_cause_multilabel,root_cause_strength,root_cause_confidence_gap,intervention_priority_score,priority_rank,intervention_tier,peer_median_skor_kematangan_digital,gap_vs_peer_skor_kematangan_digital,peer_median_rata_rata_waktu_respons_rujukan_menit,gap_vs_peer_rata_rata_waktu_respons_rujukan_menit,peer_median_anggaran_it_per_bed,gap_vs_peer_anggaran_it_per_bed,peer_median_staf_it_per_100_bed,gap_vs_peer_staf_it_per_100_bed,peer_median_iot_per_100_bed,gap_vs_peer_iot_per_100_bed,peer_median_telemedicine_rate_per_1000,gap_vs_peer_telemedicine_rate_per_1000,peer_median_pasien_per_tenaga_kerja,gap_vs_peer_pasien_per_tenaga_kerja,recommended_intervention
RS0001,RS Bunda Kasih 1,DKI Jakarta,Kota Cempaka,C,Swasta,61,16,390,54.6,5.3,796,Ya,Ya,77.8,262.0,65,4.0,169.3,24.1,0,0,0,1,1,2.775409836065574,6.557377049180328,106.55737704918033,329.14572864321605,2.041025641025641,26.229508196721312,7.779999999999999,4.127134385045092,2.833213344056216,5.968707559985366,6.680854678790215,5.399999999999999,24.1,5.3,5.399999999999999,2.041025641025641,68.48776823186704,9.31223176813296,0.7729773181087329,0.9528985507246377,0.822463768115942,0.9818840579710145,0.9190821256038647,False,False,Investor Digital Efektif,0.0,Tinggi,0.9203539823008849,0.07964601769911506,0.1902654867256637,0.8230088495575221,0.827433628318584,0.061946902654867256,0.47566371681415925,False,0.09734513274336287,0.0,0.0,0.0,0.44247787610619466,0.0,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.44247787610619466,0.3451327433628318,0.24192477876106194,249,Tier 3 — Monitoring,56.6,21.199999999999996,45.4,-21.299999999999997,1.130392156862745,1.6450176792028288,3.669724770642202,2.887652278538126,30.23255813953488,76.32481890964544,103.77890580936267,225.36682283385338,4.055555555555555,-2.0145299145299145,Lakukan asesmen operasional terarah sebelum menetapkan intervensi spesifik.
RS0002,RS Graha Sehat 2,DKI Jakarta,Kota Bukitraya,D,TNI/POLRI,54,8,171,56.5,5.0,709,Ya,Tidak,74.3,139.0,52,5.0,132.8,25.7,0,0,0,1,0,2.4592592592592593,9.25925925925926,96.29629629629629,196.05077574047954,4.146198830409356,14.814814814814813,7.43,4.007333185232471,2.1972245773362196,5.147494476813453,6.565264970035361,3.5,25.7,5.0,3.5,4.146198830409356,59.884568525619265,14.415431474380732,1.169427542920862,0.9311594202898551,0.9239130434782609,0.9746376811594203,0.9432367149758454,False,False,Investor Digital Efektif,0.0,Tinggi,0.9054054054054054,0.09459459459459463,0.25675675675675674,0.6891891891891891,0.7837837837837838,0.43243243243243246,0.5405405405405406,False,0.2432432432432432,0.08108108108108103,0.3648648648648649,0.0,0.5608108108108107,0.5,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.5608108108108107,0.060810810810810745,0.27635135135135136,226,Tier 3 — Monitoring,49.9,24.4,44.150000000000006,-18.450000000000006,1.7242424242424241,0.7350168350168351,6.454960564549605,2.8042986947096544,45.53521126760563,50.76108502869066,162.544061302682,33.50671443779754,4.589485348436346,-0.4432865180269898,Lakukan asesmen operasional terarah sebelum menetapkan intervensi spesifik.
RS0003,RSUD Bhakti Husada 3,DKI Jakarta,Kab. Sukajadi,D,Pemerintah Daerah,73,10,159,81.6,2.0,1071,Ya,Ya,72.9,211.0,44,8.0,129.6,51.2,0,0,0,1,1,1.7753424657534245,10.95890410958904,60.273972602739725,197.01213818860876,6.735849056603773,13.698630136986301,7.290000000000001,4.304065093204169,2.3978952727983707,5.075173815233827,6.977281341630747,0.0,51.2,2.0,0.0,6.735849056603773,60.96674603435778,11.933253965642223,0.9841116137341739,0.8442028985507246,0.9565217391304348,0.8840579710144928,0.8949275362318841,False,False,Investor Digital Efektif,0.0,Tinggi,0.8918918918918919,0.10810810810810811,0.6081081081081081,0.32432432432432434,0.08783783783783784,0.8378378378378378,0.4645270270270271,False,0.1351351351351351,0.28378378378378377,0.3513513513513513,0.0,0.5810810810810811,0.0,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.5810810810810811,0.22972972972972983,0.24687500000000004,247,Tier 3 — Monitoring,49.9,23.000000000000007,44.150000000000006,7.049999999999997,1.7242424242424241,0.05110004151100034,6.454960564549605,4.503943545039435,45.53521126760563,14.738761335134093,162.544061302682,34.46807688592676,4.589485348436346,2.146363708167427,Lakukan asesmen operasional terarah sebelum menetapkan intervensi spesifik.
RS0004,RSUD Harapan Bangsa 4,DKI Jakarta,Kab. Tanjungsari,C,Pemerintah Daerah,106,17,278,74.4,3.3,889,Ya,Ya,66.7,156.0,43,6.0,132.3,17.7,0,0,0,1,1,1.24811320754717,5.660377358490567,40.56603773584906,175.47806524184477,3.197841726618705,16.037735849056602,6.67,4.672828834461906,2.8903717578961645,5.631211781821365,6.7912214627261855,0.0,17.7,3.3,0.0,3.197841726618705,66.3022340458461,0.39776595415389693,0.012494617193031509,0.644927536231884,0.7536231884057971,0.7318840579710145,0.7101449275362319,False,False,Investor Digital Efektif,0.0,Tinggi,0.7345132743362832,0.2654867256637168,0.10619469026548672,0.336283185840708,0.23008849557522124,0.2831858407079646,0.23893805309734514,False,0.20353982300884954,0.2743362831858407,0.11504424778761058,0.0,0.3097345132743363,0.0,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.3097345132743363,0.03539823008849563,0.2004424778761062,264,Tier 3 — Monitoring,56.6,10.100000000000001,45.4,-27.7,1.130392156862745,0.11772105068442484,3.669724770642202,1.9906525878483645,30.23255813953488,10.333479596314177,103.77890580936267,71.6991594324821,4.055555555555555,-0.8577138289368502,Lakukan asesmen operasional terarah sebelum menetapkan intervensi spesifik.
RS0005,RSUD Karya Insani 5,DKI Jakarta,Kota Sukajadi,C,Pemerintah Daerah,134,12,393,86.2,3.7,1628,Ya,Ya,73.8,90.0,67,4.0,143.3,35.1,0,0,0,1,1,1.069402985074627,2.9850746268656714,50.0,55.28255528255528,4.142493638676845,8.955223880597014,7.38,4.90527477843843,2.5649493574615367,5.976350909297934,7.395721608602045,1.2000000000000028,35.1,3.7,1.2000000000000028,4.142493638676845,62.803663233561565,10.996336766438432,0.9166463549823299,0.5507246376811594,0.45108695652173914,0.8170289855072463,0.6062801932367149,False,False,Investor Digital Efektif,0.0,Tinggi,0.8584070796460177,0.1415929203539823,0.2920353982300885,0.6991150442477876,0.336283185840708,0.5132743362831859,0.4601769911504425,False,0.6327433628318584,0.16371681415929207,0.7699115044247787,0.0,0.6061946902654867,0.0,Kesenjangan Adopsi,,Kesenjangan Adopsi,0.7699115044247787,0.13716814159292035,0.256637168141593,240,Tier 3 — Monitoring,56.6,17.199999999999996,45.4,-10.299999999999997,1.130392156862745,-0.060989171788118135,3.669724770642202,-0.6846501437765307,30.23255813953488,19.76744186046512,103.77890580936267,-48.49635052680739,4.055555555555555,0.08693808312128937,Redesain workflow dan target pemanfaatan telemedicine; ukur utilisasi aktual.
RS0006,RS Permata Bunda 6,DKI Jakarta,Kab. Cempaka,B,TNI/POLRI,124,22,577,71.1,6.0,1490,Ya,Ya,71.5,169.0,44,3.0,153.3,69.2,0,0,0,1,1,1.2362903225806452,2.4193548387096775,35.483870967741936,113.42281879194631,2.582322357019064,17.741935483870968,7.15,4.8283137373023015,3.1354942159291497,6.359573868672378,7.307202314764738,0.0,69.2,6.0,0.0,2.582322357019064,73.2714596051008,-1.7714596051008016,-0.16605449391235824,0.6340579710144928,0.38768115942028986,0.6666666666666666,0.5628019323671497,False,True,Pemantauan Konversi Investasi,0.6164383561643836,Tinggi,0.6438356164383562,0.3561643835616438,0.8493150684931506,0.3013698630136986,0.8904109589041096,0.1232876712328767,0.5410958904109588,False,0.3835616438356164,0.0547945205479452,0.0821917808219178,0.6164383561643836,0.21232876712328766,0.0,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.6164383561643836,0.23287671232876717,0.4914383561643835,131,Tier 3 — Monitoring,68.4,3.0999999999999943,49.75,19.450000000000003,0.6383647798742138,0.5979255427064314,2.1505376344086025,0.26881720430107503,17.61006289308176,17.873808074660175,59.104737070838766,54.318081721107546,4.327956989247312,-1.7456346322282479,Lakukan asesmen operasional terarah sebelum menetapkan intervensi spesifik.
RS0007,RSUD Cahaya Medika 1,Jawa Barat,Kab. Girisari,C,Pemerintah Daerah,78,15,320,71.7,3.1,890,Ya,Ya,63.3,155.0,40,3.0,80.6,40.0,0,0,0,1,1,1.0333333333333332,3.8461538461538463,51.28205128205128,174.15730337078654,2.78125,19.230769230769234,6.33,4.3694478524670215,2.772588722239781,5.771441123130016,6.792344427470809,0.0,40.0,3.1,0.0,2.78125,48.87414825882179,14.425851741178207,1.2092142850461955,0.5398550724637681,0.5851449275362319,0.8260869565217391,0.6503623188405797,False,False,Investor Digital Efektif,0.0,Menengah,0.6238938053097345,0.3761061946902655,0.3805309734513274,0.336283185840708,0.1902654867256637,0.17699115044247787,0.27101769911504425,False,0.44690265486725667,0.1504424778761062,0.1327433628318584,0.0,0.25663716814159293,0.0,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.44690265486725667,0.19026548672566373,0.25359513274336287,243,Tier 3 — Monitoring,56.6,6.699999999999996,45.4,-5.399999999999999,1.130392156862745,-0.09705882352941186,3.669724770642202,0.17642907551164422,30.23255813953488,21.049493142516397,103.77890580936267,70.37839756142387,4.055555555555555,-1.2743055555555554,Lakukan asesmen operasional terarah sebelum menetapkan intervensi spesifik.
RS0008,RS Bhakti Husada 2,Jawa Barat,Kota Cempaka,D,TNI/POLRI,34,8,170,79.7,3.0,558,Ya,Ya,87.7,262.0,22,11.0,157.3,31.2,0,0,0,1,1,4.626470588235295,32.35294117647059,64.70588235294117,469.5340501792115,3.2823529411764705,23.52941176470588,8.77,3.5553480614894135,2.1972245773362196,5.14166355650266,6.326149473155099,0.0,31.2,3.0,0.0,3.2823529411764705,62.28258899118315,25.417411008816856,1.9908200715128783,1.0,1.0,0.9202898550724637,0.9734299516908212,False,False,Investor Digital Efektif,0.0,Tinggi,0.9864864864864865,0.013513513513513487,0.2972972972972973,0.32432432432432434,0.24324324324324326,0.24324324324324326,0.27702702702702703,False,0.0,0.22972972972972971,0.027027027027026973,0.0,0.28378378378378377,0.0,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.28378378378378377,0.05405405405405406,0.12939189189189187,273,Tier 3 — Monitoring,49.9,37.800000000000004,44.150000000000006,-12.950000000000006,1.7242424242424241,2.9022281639928704,6.454960564549605,25.897980611920982,45.53521126760563,19.17067108533554,162.544061302682,306.9899888765295,4.589485348436346,-1.3071324072598758,Lakukan asesmen operasional terarah sebelum menetapkan intervensi spesifik.
RS0009,RS Karya Insani 3,Jawa Barat,Kab. Cempaka,B,TNI/POLRI,152,19,726,89.5,4.4,1948,Ya,Ya,99.0,283.0,72,9.0,208.9,63.4,0,0,0,1,1,1.374342105263158,5.921052631578947,47.368421052631575,145.27720739219714,2.683195592286501,12.5,9.9,5.030437921392435,2.995732273553991,6.588926477533519,7.575071699507561,4.5,63.4,4.4,4.5,2.683195592286501,78.3041463145515,20.695853685448498,1.7592541666420516,0.7210144927536232,0.7898550724637681,0.7789855072463768,0.7632850241545893,False,False,Investor Digital Efektif,0.0,Tinggi,0.9931506849315068,0.006849315068493178,0.7808219178082192,0.8356164383561644,0.589041095890411,0.1506849315068493,0.589041095890411,False,0.013698630136986356,0.0273972602739726,0.04109589041095896,0.0,0.4931506849315068,0.0,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.4931506849315068,0.45205479452054786,0.26746575342465756,231,Tier 3 — Monitoring,68.4,30.599999999999994,49.75,13.649999999999999,0.6383647798742138,0.7359773253889441,2.1505376344086025,3.7705149971703444,17.61006289308176,29.758358159549815,59.104737070838766,86.17247032135838,4.327956989247312,-1.6447613969608108,Lakukan asesmen operasional terarah sebelum menetapkan intervensi spesifik.
RS0010,RSUD Citra Medika 4,Jawa Barat,Kota Mekarsari,D,Pemerintah Daerah,43,9,169,56.2,2.6,418,Ya,Ya,66.1,136.0,30,1.0,137.7,60.2,0,0,0,1,1,3.2023255813953484,2.3255813953488373,69.76744186046511,325.35885167464113,2.473372781065089,20.930232558139537,6.609999999999999,3.784189633918261,2.302585092994046,5.135798437050262,6.037870919922137,3.799999999999997,60.2,2.6,3.799999999999997,2.473372781065089,57.28046228270923,8.819537717290764,0.7516458784047969,0.9891304347826086,0.3677536231884058,0.9384057971014492,0.765096618357488,False,False,Investor Digital Efektif,0.0,Menengah,0.7702702702702703,0.22972972972972971,0.8243243243243243,0.722972972972973,0.17567567567567569,0.0945945945945946,0.4543918918918919,False,0.8108108108108107,0.18918918918918914,0.16216216216216217,0.0,0.4087837837837838,0.0,Kesenjangan Kapabilitas IT,,Kesenjangan Kapabilitas IT,0.8108108108108107,0.4020270270270269,0.28488175675675675,220,Tier 3 — Monitoring,49.9,16.199999999999996,44.150000000000006,16.049999999999997,1.7242424242424241,1.4780831571529243,6.454960564549605,-4.129379169200767,45.53521126760563,24.23223059285948,162.544061302682,162.81479037195913,4.589485348436346,-2.1161125673712573,"Perkuat staf IT, pelatihan, atau shared-service sebelum menambah hardware."
