id_rumah_sakit,root_cause_primary,root_cause_secondary,root_cause_multilabel,root_cause_strength,root_cause_confidence_gap,cause_score_it_capability,cause_score_infrastructure,cause_score_adoption,cause_score_investment_conversion,cause_score_capacity,cause_score_integration
RS0001,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.44247787610619466,0.3451327433628318,0.09734513274336287,0.0,0.0,0.0,0.44247787610619466,0.0
RS0002,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.5608108108108107,0.060810810810810745,0.2432432432432432,0.08108108108108103,0.3648648648648649,0.0,0.5608108108108107,0.5
RS0003,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.5810810810810811,0.22972972972972983,0.1351351351351351,0.28378378378378377,0.3513513513513513,0.0,0.5810810810810811,0.0
RS0004,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.3097345132743363,0.03539823008849563,0.20353982300884954,0.2743362831858407,0.11504424778761058,0.0,0.3097345132743363,0.0
RS0005,Kesenjangan Adopsi,,Kesenjangan Adopsi,0.7699115044247787,0.13716814159292035,0.6327433628318584,0.16371681415929207,0.7699115044247787,0.0,0.6061946902654867,0.0
RS0006,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.6164383561643836,0.23287671232876717,0.3835616438356164,0.0547945205479452,0.0821917808219178,0.6164383561643836,0.21232876712328766,0.0
RS0007,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.44690265486725667,0.19026548672566373,0.44690265486725667,0.1504424778761062,0.1327433628318584,0.0,0.25663716814159293,0.0
RS0008,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.28378378378378377,0.05405405405405406,0.0,0.22972972972972971,0.027027027027026973,0.0,0.28378378378378377,0.0
RS0009,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.4931506849315068,0.45205479452054786,0.013698630136986356,0.0273972602739726,0.04109589041095896,0.0,0.4931506849315068,0.0
RS0010,Kesenjangan Kapabilitas IT,,Kesenjangan Kapabilitas IT,0.8108108108108107,0.4020270270270269,0.8108108108108107,0.18918918918918914,0.16216216216216217,0.0,0.4087837837837838,0.0
RS0011,Kesenjangan Integrasi,,Kesenjangan Integrasi,1.0,0.3783783783783784,0.09459459459459463,0.43243243243243246,0.6216216216216216,0.0,0.5,1.0
RS0012,Tidak ada bottleneck dominan,Tekanan Kapasitas,Kesenjangan Infrastruktur; Tekanan Kapasitas,0.6891891891891893,0.013513513513513598,0.6013513513513513,0.6891891891891893,0.1351351351351351,0.0,0.6756756756756757,0.0
RS0013,Kesenjangan Infrastruktur,Kesenjangan Adopsi,Kesenjangan Infrastruktur; Kesenjangan Adopsi; Kesenjangan Kapabilitas IT,0.8356164383561644,0.09589041095890405,0.6849315068493151,0.8356164383561644,0.7397260273972603,0.0,0.5684931506849316,0.0
RS0014,Kesenjangan Kapabilitas IT,Kesenjangan Infrastruktur,Kesenjangan Kapabilitas IT; Kesenjangan Infrastruktur; Kesenjangan Adopsi,0.9054054054054054,0.10810810810810811,0.9054054054054054,0.7972972972972973,0.7567567567567568,0.0,0.6216216216216217,0.0
RS0015,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.6486486486486487,0.0,0.10810810810810811,0.6486486486486487,0.32432432432432434,0.0,0.6486486486486487,0.0
RS0016,Tekanan Kapasitas,Kesenjangan Adopsi,Tekanan Kapasitas; Kesenjangan Adopsi,0.8672566371681416,0.12389380530973448,0.31858407079646023,0.34513274336283184,0.7433628318584071,0.0,0.8672566371681416,0.0
RS0017,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.6418918918918919,0.15540540540540537,0.18918918918918914,0.14864864864864868,0.29729729729729726,0.4864864864864865,0.6418918918918919,0.0
RS0018,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.6164383561643836,0.1095890410958904,0.5068493150684932,0.3561643835616438,0.452054794520548,0.0,0.6164383561643836,0.0
RS0019,Kesenjangan Kapabilitas IT,,Kesenjangan Kapabilitas IT,0.8672566371681416,0.22123893805309736,0.8672566371681416,0.5309734513274336,0.6460176991150443,0.5132743362831859,0.42920353982300885,0.0
RS0020,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.43243243243243246,0.2364864864864865,0.43243243243243246,0.09459459459459463,0.09459459459459463,0.0,0.19594594594594594,0.0
RS0021,Tidak ada bottleneck dominan,,Tekanan Kapasitas,0.7397260273972603,0.12328767123287676,0.5616438356164384,0.15068493150684936,0.6164383561643836,0.0,0.7397260273972603,0.0
RS0022,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.6283185840707964,0.12831858407079644,0.34513274336283184,0.33628318584070793,0.49557522123893805,0.0,0.6283185840707964,0.5
RS0023,Kesenjangan Kapabilitas IT,Kesenjangan Infrastruktur,Kesenjangan Kapabilitas IT; Kesenjangan Infrastruktur; Tekanan Kapasitas,0.863013698630137,0.1643835616438356,0.863013698630137,0.6986301369863014,0.5342465753424658,0.0,0.6506849315068493,0.0
RS0024,Tidak ada bottleneck dominan,Gap Konversi Investasi — indikator relatif,Tekanan Kapasitas; Gap Konversi Investasi — indikator relatif,0.747787610619469,0.09292035398230081,0.504424778761062,0.23893805309734517,0.5575221238938053,0.6548672566371682,0.747787610619469,0.0
RS0025,Kesenjangan Infrastruktur,,Kesenjangan Infrastruktur,0.9375,0.3125,0.625,0.9375,0.625,0.0,0.40625,0.0
RS0026,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.36283185840707965,0.026548672566371667,0.06194690265486724,0.36283185840707965,0.017699115044247815,0.0,0.336283185840708,0.0
RS0027,Tidak ada bottleneck dominan,,Kesenjangan Kapabilitas IT,0.6875,0.09375,0.6875,0.0625,0.125,0.0,0.59375,0.0
RS0028,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.3893805309734514,0.20353982300884965,0.15929203539823011,0.18584070796460173,0.16814159292035402,0.0,0.3893805309734514,0.0
RS0029,Tekanan Kapasitas,Kesenjangan Kapabilitas IT,Tekanan Kapasitas; Kesenjangan Kapabilitas IT; Kesenjangan Infrastruktur,0.7566371681415929,0.05752212389380529,0.6991150442477876,0.663716814159292,0.504424778761062,0.0,0.7566371681415929,0.0
RS0030,Kesenjangan Infrastruktur,,Kesenjangan Infrastruktur,0.7702702702702703,0.43243243243243246,0.1216216216216216,0.7702702702702703,0.10810810810810811,0.0,0.33783783783783783,0.0
RS0031,Kesenjangan Infrastruktur,,Kesenjangan Infrastruktur,0.9324324324324325,0.47972972972972977,0.21621621621621623,0.9324324324324325,0.20270270270270274,0.0,0.4527027027027027,0.0
RS0032,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.15753424657534246,0.006849315068493095,0.15068493150684936,0.04109589041095896,0.0,0.0,0.15753424657534246,0.0
RS0033,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.6017699115044248,0.06194690265486735,0.1415929203539823,0.6017699115044248,0.3008849557522124,0.0,0.5398230088495575,0.0
RS0034,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.5221238938053097,0.004424778761061843,0.5221238938053097,0.22123893805309736,0.1415929203539823,0.0,0.5176991150442478,0.0
RS0035,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.5486725663716814,0.03539823008849552,0.5486725663716814,0.5132743362831859,0.18584070796460173,0.0,0.2743362831858407,0.0
RS0036,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.16891891891891891,0.047297297297297314,0.013513513513513487,0.1216216216216216,0.0,0.0,0.16891891891891891,0.0
RS0037,Tidak ada bottleneck dominan,,Kesenjangan Adopsi,0.6575342465753424,0.047945205479452024,0.0821917808219178,0.09589041095890416,0.6575342465753424,0.0,0.6095890410958904,0.0
RS0038,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.46902654867256643,0.23893805309734517,0.03539823008849563,0.04424778761061943,0.23008849557522126,0.0,0.46902654867256643,0.0
RS0039,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.49324324324324326,0.20945945945945948,0.07432432432432434,0.10810810810810811,0.28378378378378377,0.0,0.49324324324324326,0.0
